"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Material-handling Equipment","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Material-handling Equipment","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Commercial Vehicles","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Commercial Vehicles","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Commercial Vehicles","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Commercial Vehicles","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Commercial Vehicles","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Commercial Vehicles","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Material-handling Equipment","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Material-handling Equipment","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Material-handling Equipment","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Material-handling Equipment","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Material-handling Equipment","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Material-handling Equipment","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Goldbell Care","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Goldbell Care","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Goldbell Care","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Goldbell Care","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Goldbell Care","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Goldbell Care","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing",Resources,"Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing",Resources,"Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing",Resources,"Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing",Resources,"With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing",Resources,"© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing",Resources,"The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","About GBL","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","About GBL","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","About GBL","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","About GBL","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","About GBL","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","About GBL","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Our Products & Services","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Our Products & Services","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Our Products & Services","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Our Products & Services","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Goldbell Leasing","Our Products & Services","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
